ano;uf;exp
2019;AC;0.032853291
2019;SE;0.050560938
2019;PB;0.126299269
2019;RR;0.157707499
2019;DF;0.160701336
2019;AP;0.261368366
2019;AL;0.319088835
2019;RN;0.394853337
2019;PI;0.542832678
2019;AM;0.731091968
2019;TO;1.110498569
2019;RO;1.303909831
2019;PE;1.466346902
2019;CE;2.275188077
2019;MA;3.543622779
2019;MS;5.243446085
2019;GO;7.133398211
2019;BA;8.168158116
2019;ES;8.800321849
2019;SC;8.951838846
2019;PR;16.45419712
2019;MT;17.20610391
2019;PA;17.841239155
2019;RS;18.545065307
2019;MG;25.138578745
2019;RJ;28.634458633
2019;SP;48.852560073
